date,name,tier,lp,score
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-11,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-11,날씨가너무덥네요#KR1,Gold II,1,14.01
2025-01-12,날씨가너무덥네요#KR1,Gold II,1,14.01
2025-01-12,날씨가너무덥네요#KR1,Gold III,86,13.86
2025-01-13,날씨가너무덥네요#KR1,Gold III,86,13.86
2025-01-13,날씨가너무덥네요#KR1,Gold II,22,14.22
2025-01-15,날씨가너무덥네요#KR1,Gold II,22,14.22
2025-01-15,날씨가너무덥네요#KR1,Gold III,93,13.93
2025-01-15,날씨가너무덥네요#KR1,Gold III,93,13.93
2025-01-15,날씨가너무덥네요#KR1,Gold II,12,14.12
2025-01-15,날씨가너무덥네요#KR1,Gold II,12,14.12
2025-01-15,날씨가너무덥네요#KR1,Gold I,12,15.12
2025-01-15,날씨가너무덥네요#KR1,Gold I,12,15.12
2025-01-15,날씨가너무덥네요#KR1,Gold II,95,14.95
2025-01-16,날씨가너무덥네요#KR1,Gold II,95,14.95
2025-01-16,날씨가너무덥네요#KR1,Gold I,29,15.29
2025-01-25,날씨가너무덥네요#KR1,Gold I,29,15.29
2025-01-25,날씨가너무덥네요#KR1,Gold II,94,14.94
2025-01-25,날씨가너무덥네요#KR1,Gold II,94,14.94
2025-01-25,날씨가너무덥네요#KR1,Gold I,22,15.22
2025-01-27,날씨가너무덥네요#KR1,Gold I,22,15.22
2025-01-27,날씨가너무덥네요#KR1,Platinum IV,7,16.07
2025-01-28,날씨가너무덥네요#KR1,Platinum IV,7,16.07
2025-01-28,날씨가너무덥네요#KR1,Platinum III,16,17.16
2025-01-30,날씨가너무덥네요#KR1,Platinum III,16,17.16
2025-01-30,날씨가너무덥네요#KR1,Platinum II,17,18.17
2025-02-02,날씨가너무덥네요#KR1,Platinum II,17,18.17
2025-02-02,날씨가너무덥네요#KR1,Platinum I,26,19.26
2025-02-03,날씨가너무덥네요#KR1,Platinum I,26,19.26
2025-02-03,날씨가너무덥네요#KR1,Emerald IV,4,20.04
2025-02-20,날씨가너무덥네요#KR1,Emerald IV,4,20.04
2025-02-20,날씨가너무덥네요#KR1,Emerald III,11,21.11
2025-02-21,날씨가너무덥네요#KR1,Emerald III,11,21.11
2025-02-21,날씨가너무덥네요#KR1,Emerald IV,94,20.94
2025-02-22,날씨가너무덥네요#KR1,Emerald IV,94,20.94
2025-02-22,날씨가너무덥네요#KR1,Emerald III,1,21.01
2025-02-22,날씨가너무덥네요#KR1,Emerald III,1,21.01
2025-02-22,날씨가너무덥네요#KR1,Emerald IV,79,20.79
2025-02-22,날씨가너무덥네요#KR1,Emerald IV,79,20.79
2025-02-22,날씨가너무덥네요#KR1,Emerald III,1,21.01
2025-02-24,날씨가너무덥네요#KR1,Emerald III,1,21.01
2025-02-24,날씨가너무덥네요#KR1,Emerald IV,92,20.92
2025-02-24,날씨가너무덥네요#KR1,Emerald IV,92,20.92
2025-02-24,날씨가너무덥네요#KR1,Emerald III,13,21.13
2025-02-24,날씨가너무덥네요#KR1,Emerald III,13,21.13
2025-02-24,날씨가너무덥네요#KR1,Emerald IV,94,20.94
2025-03-02,날씨가너무덥네요#KR1,Emerald IV,94,20.94
2025-03-02,날씨가너무덥네요#KR1,Platinum I,96,19.96
